Console,Type,Company,Release,Units_sold
PlayStation 2,Home,Sony,2000,155000000
Nintendo DS,Handheld,Nintendo,2004,154002000
Game Boy,Handheld,Nintendo,1989,118690000
PlayStation 4,Home,Sony,2013,116400000
PlayStation,Home,Sony,1994,102490000
Wii,Home,Nintendo,2006,101630000
Nintendo Switch,Hybrid,Nintendo,2017,89040000
PlayStation 3,Home,Sony,2006,87400000
Xbox 360,Home,Microsoft,2005,84000000
Game Boy Advance,Handheld,Nintendo,2001,81510000
PlayStation Portable,Handheld,Sony,2004,82000000
Nintendo 3DS,Handheld,Nintendo,2011,75940000
NES,Home,Nintendo,1983,61910000
Xbox One,Home,Microsoft,2013,51000000
SNES,Home,Nintendo,1990,49100000
Nintendo 64,Home,Nintendo,1996,32930000
Xbox,Home,Microsoft,2001,24000000
GameCube,Home,Nintendo,2001,21740000
Wii U,Home,Nintendo,2012,13560000
PlayStation Vita,Handheld,Sony,2011,15000000
PlayStation 5,Home,Sony,2020,10000000
Xbox Series X/S,Home,Microsoft,2020,6500000
SNES Classic,Dedicated,Nintendo,2017,5280000
Color TV-Game,Dedicated,Nintendo,1977,3000000
NES Classic,Dedicated,Nintendo,2016,2300000
